author;year
Albert Einstein;1879 – 1955
Alexander Næss;1988 – nå
Alfred Adler;1870 – 1937
Anaïs Nin;1903 – 1977
Carl Gustav Jung;1875 – 1961
Confucius;551 – 479 f.Kr.
Dale Carnegie;1888 – 1955
Daniel Kahneman;1934 – 2024
Derek Muller;1982 – nå
Diogenes;ca. 413 – 324 f.Kr.
Epictetus;ca. 50 – 135
Friedrich Nietzsche;1844 – 1900
Gabor Maté;1944 – nå
Hanne H. Brorson;1981 – nå
ICDP
Ingvard Wilhelmsen;1949 – nå
Jack Lannom;1947 – nå
Kurzgesagt
Lao Tzu;ca. 600-tallet f.Kr.
Lovisenberg DPS
Marcus Aurelius;121 – 180
Martin Seligman;1942 – nå
Mensa
Michel de Montaigne;1533 – 1592
Mongo Young
Morgan Housel;1984 – nå
Nathaniel Branden;1930 – 2014
Ole Jacob Madsen;1978 – nå
Seneca;ca. 4 f.Kr. – 65 e.Kr.
Siddhartha Gautama (Buddha);ca. 563 – 483 f.Kr.
Sigmund Freud;1856 – 1939
Smårollingene
Socrates;ca. 469 – 399 f.Kr.
Sondre Risholm Liverød;1979 – nå
Ullevål psykolog;
Van Lena Næss;1989 – nå
Viktor E. Frankl;1905 – 1997
Warren Buffett;1930 – nå
Winston Churchill;1874 – 1965
Yongey Mingyur Rinpoche;1975 – nå
